49777,теряєва олена геннадіївна
25978,ракул василь миколайович
16801,животовський олександр миколайович
24116,куценко ілля володимирович
17242,колодницька алла іванівна
53549,самбур таміла михайлівна
6089,петрик ігор йосипович
43702,окрайченко наталія василівна
32662,коломієць юлія володимирівна
24223,кравченко юрій олексійович
37938,тишковець сергій миколайович
49785,струков юрій миколайович
43774,заремський максим валентинович
5450,демянчук юрій григорович
41690,антоненко олександр вікторович
49779,сєкунов сергій володимирович
47708,заріцький олексій анатолійович
8911,корнієнко наталія василівна
23959,індиченко борис борисович
32886,івасєв андрій іванович
7799,животов євген геннадійович
54230,ткачук сергій валерійович
5987,пуль олена анатоліївна
6831,антонов микола вікторович
10189,киричик іван миронович
9712,беззабава ольга володимирівна
6730,жуков володимир євгенович
6256,онищенко едуард анатолійович
24215,гербеда сергій володимирович
8174,квятковський анатолій степанович
24128,овчаренко ірина іванівна
17053,сорока павло володимирович
7593,андрухів василь михайлович
47924,дума віталій романович
4744,рейтер оксана костянтинівна
8669,аленін олександр юрійович
47709,даник андрій миколайович
26294,коваль лариса миколаївна
4399,козир борис юрійович
14576,островський віктор в’ячеславович
6594,мельник олег миколайович
6558,тарасюк олександр михайлович
33140,коляда віталій борисович
17117,філімонов анатолій вадимович
33291,ракевич микола павлович
1131,васищак ігор миколайович
25511,тишковець галина степанівна
8831,яременко анатолій федорович
42146,яковець віктор олександрович
5782,ващенко сергій євгенійович
27034,варава ігор григорович
36006,мельник віталій володимирович
33289,панов андрій борисович
5767,павловський павло павлович
25976,мороко олександр борисович
23787,мирошніков анатолій михайлович
14817,карасевич сергій петрович
23942,купецький володимир васильович
42953,боярський валерій анатолійович
9860,кошулинський руслан володимирович
23751,купранець ігор михайлович
50568,данилевич олег васильович
14806,максимов олександр анатолійович
42946,дуран іван петрович
16580,кернес геннадій адольфович
42964,гасимов ріяфет садиг огли
17227,панченко ірина анатоліївна
54392,андреєнко микола васильович
24032,доценко валерій анатолійович
54710,федишин зеновій степанович
9692,нетудихата володимир іванович
5223,барбара валентин петрович
25883,висоцька лариса адольфівна
6840,бірюкова олена олександрівна
33200,маслієв павло володимирович
42943,кучер в'ячеслав анатолійович
7625,фок орест любомирович
5930,кисіль анатолій миколайович
5308,попович олена вікторівна
28144,кавіцький петро петрович
42524,калюжний олег олексійович
23924,ковалюк василь петрович
5529,мікулін микола іванович
42948,кононенко юрій володимирович
54711,герасько лариса анатоліївна
54491,берец володимир антонович
1111,ходаківська ірина полікарпівна
44494,петров олексій геннадійович
42919,корнієнко владислав вікторович
7030,третяк юрій іванович
5799,купельський анатолій вадимович
25833,ширченко галина іванівна
50378,лазебний василь тимофійович
53632,стрєльнікова анна дмитрівна
14711,василенко ольга григорівна
42922,оцерклевич олексій ярославович
33032,лемешко надія василівна
47806,кравець валерій анатолійович
54023,шаповалов вячеслав володимирович
38307,чередніченко сергій іванович
6406,буркат євген валерійович
4913,івахів степан петрович
50043,єврейський олег миколайович
16898,столбченко андрій анатолійович
17140,турупалов антон вікторович
4831,вілкул олександр юрійович
25504,дідик володимир петрович
4932,климпуш-цинцадзе іванна орестівна
47809,козицький максим зіновійович
34447,пушкаренко сергій олександрович
1120,куровський сергій вікторович
7326,бурдик петро сафронович
5570,васецька вікторія василівна
50033,заєць сергій михайлович
34050,колісник василь володимирович
47601,пресняков іван євгенійович
