id_PEP,kids_actual,kids_expected,wife_actual,wife_expected,total_property_assets,total_property_assets_divide_income,sum_income,am_avto,am_avto_without_price,am_real_estate,am_real_estate_without_price,am_land,am_land_without_price,no_real_estate_adress,no_real_estate_region,sum_act_property_cash,sum_act_property_cash_divide_sum_prev_property_cash,sum_prev_property_cash,sum_act_sale_property,sum_prev_sale_property,sum_income_divide_sum_act_property_minus_sum_prev_property,sum_taken_teaching_dopwork,sum_taken_teaching_dopwork_divide_sum_income,sum_royalty,sum_royalty_divide_sum_income,sum_income_assets,sum_spending,sum_present,sum_prize,am_car2013_less150,am_lux_car,sum_cash,sum_cash_assets,sum_prev_cash_assets,sum_cash_min_year,sum_cash_min_year_divide_sum_income_min_year,sum_income_min_year,sum_spending_divide_sum_income,am_company_noBeneficInform,am_company,sum_money_spending,sum_crypto,am_live_property_rent_300more
2495,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2100000.0,2100000.0,1844417.0,,,,,,,,,
3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
4318,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501242.4,24.5707,20400.0,,,,,,
4320,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321,0.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4323,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4330,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4331,,,,,2953484.0,13.9764,211320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4337,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4339,,,,,,,,,,3.0,2.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4340,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4347,,,,,4051653.092,15.4829,261685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
4350,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696170.0,5.0107,138937.0,,,,,,
4362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695168.6841,,,,,,,,,,,
4363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
